document,line_number,character,dialogue
a new hope,285,TARKIN,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.
a new hope,286,TAGGE,"And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
a new hope,287,VADER,The plans you refer to will soon be back in our hands.
a new hope,288,MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!"
a new hope,289,VADER,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.
a new hope,290,MOTTI,"Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort..."
a new hope,291,VADER,I find your lack of faith disturbing.
a new hope,292,TARKIN,"Enough of this!  Vader, release him!"
a new hope,293,VADER,As you wish.
a new hope,294,TARKIN,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.
a new hope,295,LUKE,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before."
a new hope,296,BEN,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.
a new hope,297,LUKE,These are the same Jawas that sold us Artoo and Threepio.
a new hope,298,BEN,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise."
a new hope,299,LUKE,Why would Imperial troops want to slaughter Jawas?
a new hope,300,LUKE,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!"
a new hope,301,BEN,"Wait, Luke!  It's too dangerous."
a new hope,302,LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!
a new hope,303,VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base."
a new hope,304,BEN,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire."
a new hope,305,LUKE,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.
a new hope,306,BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.
a new hope,307,TROOPER,How long have you had these droids?
a new hope,308,LUKE,About three or four seasons.
a new hope,309,BEN,They're for sale if you want them.
a new hope,310,TROOPER,Let me see your identification.
a new hope,311,BEN,You don't need to see his identification.
a new hope,312,TROOPER,We don't need to see his identification.
a new hope,313,BEN,looking for.
a new hope,314,TROOPER,These are not the droids we're looking for.
a new hope,315,BEN,He can go about his business.
a new hope,316,TROOPER,You can go about your business.
a new hope,317,BEN,Move along.
a new hope,318,TROOPER,Move along.  Move along.
a new hope,319,THREEPIO,I can't abide these Jawas.  Disgusting creatures.
a new hope,320,LUKE,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead."
a new hope,321,BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.
a new hope,322,LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?
a new hope,323,BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough."
a new hope,324,LUKE,I'm ready for anything.
a new hope,325,THREEPIO,"Come along, Artoo."
a new hope,326,BARTENDER,We don't serve their kind here!
a new hope,327,LUKE,What?
a new hope,328,BARTENDER,Your droids. They'll have to wait outside.  We don't want them here.
a new hope,329,LUKE,"Listen, why don't you wait out by the speeder.  We don't want any trouble."
a new hope,330,THREEPIO,I heartily agree with you sir.
a new hope,331,CREATURE,Negola dewaghi wooldugger?!?
a new hope,332,HUMAN,He doesn't like you.
a new hope,333,LUKE,I'm sorry.
a new hope,334,HUMAN,I don't like you either
a new hope,335,HUMAN,Don't insult us.  You just watch yourself.  We're wanted men.  I have the death sentence on twelve systems.
a new hope,336,LUKE,I'll be careful than.
a new hope,337,HUMAN,You'll be dead.
